index,filename,suggested_id,category
0,tile_0000.png,TR_FLOOR_01,floor
1,tile_0001.png,TR_FLOOR_02,floor
2,tile_0002.png,TR_FLOOR_03,floor
3,tile_0003.png,TR_FLOOR_04,floor
4,tile_0004.png,TR_FLOOR_05,floor
5,tile_0005.png,TR_FLOOR_06,floor
6,tile_0006.png,TR_FLOOR_07,floor
7,tile_0007.png,TR_FLOOR_08,floor
8,tile_0008.png,TR_FLOOR_09,floor
9,tile_0009.png,TR_FLOOR_10,floor
10,tile_0010.png,TR_FLOOR_11,floor
11,tile_0011.png,TR_FLOOR_12,floor
12,tile_0012.png,TR_WALL_01,wall
13,tile_0013.png,TR_WALL_02,wall
14,tile_0014.png,TR_WALL_03,wall
15,tile_0015.png,TR_WALL_04,wall
16,tile_0016.png,TR_WALL_05,wall
17,tile_0017.png,TR_WALL_06,wall
18,tile_0018.png,TR_WALL_07,wall
19,tile_0019.png,TR_WALL_08,wall
20,tile_0020.png,TR_WALL_09,wall
21,tile_0021.png,TR_WALL_10,wall
22,tile_0022.png,TR_WALL_11,wall
23,tile_0023.png,TR_WALL_12,wall
24,tile_0024.png,TR_WALL_VAR_01,wall_variant
25,tile_0025.png,TR_WALL_VAR_02,wall_variant
26,tile_0026.png,TR_WALL_VAR_03,wall_variant
27,tile_0027.png,TR_WALL_VAR_04,wall_variant
28,tile_0028.png,TR_WALL_VAR_05,wall_variant
29,tile_0029.png,TR_WALL_VAR_06,wall_variant
30,tile_0030.png,TR_WALL_VAR_07,wall_variant
31,tile_0031.png,TR_WALL_VAR_08,wall_variant
32,tile_0032.png,TR_WALL_VAR_09,wall_variant
33,tile_0033.png,TR_WALL_VAR_10,wall_variant
34,tile_0034.png,TR_WALL_VAR_11,wall_variant
35,tile_0035.png,TR_WALL_VAR_12,wall_variant
36,tile_0036.png,TR_DECOR_01,decoration
37,tile_0037.png,TR_DECOR_02,decoration
38,tile_0038.png,TR_DECOR_03,decoration
39,tile_0039.png,TR_DECOR_04,decoration
40,tile_0040.png,TR_DECOR_05,decoration
41,tile_0041.png,TR_DECOR_06,decoration
42,tile_0042.png,TR_DECOR_07,decoration
43,tile_0043.png,TR_DECOR_08,decoration
44,tile_0044.png,TR_DECOR_09,decoration
45,tile_0045.png,TR_DECOR_10,decoration
46,tile_0046.png,TR_DECOR_11,decoration
47,tile_0047.png,TR_DECOR_12,decoration
48,tile_0048.png,TR_ITEM_01,item
49,tile_0049.png,TR_ITEM_02,item
50,tile_0050.png,TR_ITEM_03,item
51,tile_0051.png,TR_ITEM_04,item
52,tile_0052.png,TR_ITEM_05,item
53,tile_0053.png,TR_ITEM_06,item
54,tile_0054.png,TR_ITEM_07,item
